0,28.6,23.8
1,28.6,54.5
2,28.6,93
3,37,54.5
4,64.9,57.9
5,75,25.9
6,81.3,28
7,118,57.5
8,115.2,79
9,121,32.3
10,122.2,26.6
11,122.4,25.2
12,122.4,23.8
13,130.4,34
14,130.4,32.5
15,130.4,26.8
16,155.9,27.2
17,155.1,23.8
18,164.4,27.2
19,169.7,32.1
20,170.4,33.7
21,177.3,29.8
22,177.6,25.9
23,187.9,25.4
24,188,23.8
25,194.7,23.8
26,195.1,24.9
27,205.2,24.9
28,208.5,24.7
29,205,28.4
30,208.3,31.9
31,211.9,23.8
32,213.3,24.5
33,208.7,56.8
34,209.4,78.7
35,250.1,23.8
36,250.1,24.3
37,250.1,56.8
38,250.1,93
