0,157,1046
1,157,1441
2,1414,1441
3,1414,1046
4,1200,1046
5,1097,1046
6,1062,1046
7,873,1046
8,690,1046
9,157,1225
10,194,1225
11,359,1246
12,1414,1230
13,1207,1202
14,1184,1097
15,1204,1053
16,1414,1055
17,1157,1052
18,1158,1066
19,1156,1083
20,1001,1083
21,1001,1064
22,1056,1062
23,423,1065
24,456,1072
25,1122,1056
26,958,1100
27,929,1069
28,881,1069
29,735,1102
30,735,1077
31,637,1209
32,665,1147
33,673,1102
34,682,1074
35,636,1066
36,687,1061
37,548,1068
38,1098,1056
